D0001,A108,0,0,17,F8015
D0001,A108,0,0,17,F8095
D0001,A108,0,0,42,F8041
D0001,A108,0,0,14,F8085
D0001,A108,0,0,13,F8049
D0001,A108,0,0,13,F8092
D0001,A108,0,0,15,F8034
D0001,A108,0,0,9,F8098
D0001,B7328,7,23,-14,F8085
D0001,B2439,25,49,-42,F8041
D0001,B0051,51,68,-17,F8015
D0001,B8235,71,85,-9,F8098
D0001,B7822,88,105,-17,F8095
D0001,B3065,107,123,-13,F8049
D0001,B7756,125,141,-13,F8092
D0001,B1836,143,160,-15,F8034
D0001,S001,184,216,1,E0014
D0001,S003,220,220,1,E0054
D0001,S003,220,229,2,E0032
D0001,S003,229,232,1,E0049
D0001,B5710,234,242,-1,E0049
D0001,B3569,244,253,-2,E0032
D0001,B6315,256,264,-1,E0014
D0001,B7861,269,277,-1,E0054
D0001,S003,277,299,4,E0035
D0001,S001,303,312,2,E0018
D0001,B3569,318,329,-4,E0035
D0001,B6350,336,345,-2,E0018
D0001,S003,354,371,2,E0040
D0001,B3960,545,554,-2,E0040
D0002,A108,0,0,28,F8016
D0002,A108,0,0,4,F8046
D0002,A108,0,0,41,F8059
D0002,A108,0,0,6,F8070
D0002,A108,0,0,1,F8108
D0002,A108,0,0,2,F8050
D0002,A108,0,0,25,F8038
D0002,A108,0,0,2,F8109
D0002,A108,0,0,2,F8075
D0002,A108,0,0,3,F8062
D0002,A108,0,0,3,F8090
D0002,A108,0,0,6,F8099
D0002,A108,0,0,9,F8043
D0002,A108,0,0,3,F8107
D0002,A108,0,0,2,F8076
D0002,B4589,46,56,-3,F8062
D0002,B5901,62,71,-2,F8075
D0002,B3173,78,87,-2,F8050
D0002,B9118,91,99,-1,F8108
D0002,B5479,103,115,-6,F8070
D0002,B4359,119,143,-41,F8059
D0002,B0340,147,168,-28,F8016
D0002,B2856,172,183,-4,F8046
D0002,B2105,190,210,-25,F8038
D0002,B9169,219,228,-2,F8109
D0002,B7717,236,246,-3,F8090
D0002,B8240,251,263,-6,F8099
D0002,B2625,266,280,-9,F8043
D0002,B9072,290,300,-3,F8107
D0002,B5925,306,315,-2,F8076
D0002,S003,352,375,1,E0029
D0002,B3341,378,386,-1,E0029
D0002,S003,389,393,1,E0056
D0002,B7861,393,401,-1,E0056
D0002,S003,401,410,1,E0042
D0002,B3960,584,592,-1,E0042
D0003,A108,0,0,35,F8017
D0003,A108,0,0,16,F8093
D0003,A108,0,0,25,F8110
D0003,A108,0,0,12,F8031
D0003,A108,0,0,11,F8104
D0003,A108,0,0,7,F8073
D0003,A108,0,0,4,F8089
D0003,A108,0,0,12,F8057
D0003,A108,0,0,16,F8106
D0003,A108,0,0,2,F8079
D0003,B8820,25,42,-16,F8106
D0003,B4212,44,59,-12,F8057
D0003,B7666,63,74,-4,F8089
D0003,B5764,76,89,-7,F8073
D0003,B0455,92,115,-35,F8017
D0003,B7786,116,133,-16,F8093
D0003,B9171,135,155,-25,F8110
D0003,B1494,157,172,-12,F8031
D0003,B8657,173,188,-11,F8104
D0003,B6439,198,207,-2,F8079
D0003,S003,224,246,1,E0055
D0003,S003,246,248,9,E0033
D0003,S003,248,252,1,E0031
D0003,S001,256,264,4,E0012
D0003,S003,268,269,1,E0026
D0003,S003,269,274,3,E0047
D0003,S003,274,283,2,E0034
D0003,B1412,284,292,-1,E0026
D0003,B3481,293,301,-1,E0031
D0003,B7861,302,310,-1,E0055
D0003,B3569,313,327,-9,E0033
D0003,B3569,327,336,-2,E0034
D0003,B5710,338,349,-4,E0012
D0003,B0434,357,367,-3,E0047
D0003,S003,377,384,6,E0041
D0003,B3960,558,570,-6,E0041
D0004,A108,0,0,29,F8018
D0004,A108,0,0,15,F8072
D0004,A108,0,0,33,F8060
D0004,A108,0,0,11,F8035
D0004,A108,0,0,9,F8101
D0004,A108,0,0,5,F8055
D0004,A108,0,0,5,F8061
D0004,A108,0,0,4,F8052
D0004,A108,0,0,5,F8088
D0004,A108,0,0,17,F8040
D0004,A108,0,0,4,F8078
D0004,B4515,24,36,-5,F8061
D0004,B8295,42,56,-9,F8101
D0004,B1952,60,75,-11,F8035
D0004,B4465,77,99,-33,F8060
D0004,B0464,102,123,-29,F8018
D0004,B5613,125,142,-15,F8072
D0004,B3690,146,158,-5,F8055
D0004,B3446,166,177,-4,F8052
D0004,B7593,192,204,-5,F8088
D0004,B2184,207,224,-17,F8040
D0004,B6271,232,243,-4,F8078
D0004,S003,274,310,5,E0025
D0004,B1101,320,332,-5,E0025
D0004,A108,346,346,16,F8019
D0004,A108,346,346,30,F8037
D0004,A108,346,346,37,F8068
D0004,A108,346,346,43,F8084
D0004,A108,346,346,11,F8024
D0004,B1096,362,377,-11,F8024
D0004,B7212,382,407,-43,F8084
D0004,B0466,409,426,-16,F8019
D0004,B2101,427,448,-30,F8037
D0004,B5194,449,472,-37,F8068
D0004,S001,480,485,1,E0004
D0004,S003,489,495,6,E0036
D0004,S001,499,499,1,E0009
D0004,S003,503,509,1,E0030
D0004,S001,513,519,1,E0005
D0004,B0434,530,538,-1,E0009
D0004,B3341,545,553,-1,E0004
D0004,B3341,553,561,-1,E0005
D0004,B3341,561,569,-1,E0030
D0004,B3569,571,583,-6,E0036
D0004,S003,586,600,6,E0046
D0004,B3960,774,786,-6,E0046
D0005,A108,0,0,10,F8020
D0005,A108,0,0,8,F8083
D0005,A108,0,0,9,F8077
D0005,A108,0,0,14,F8028
D0005,A108,0,0,92,F8033
D0005,A108,0,0,5,F8102
D0005,A108,0,0,2,F8080
D0005,B8309,13,25,-5,F8102
D0005,B1670,34,68,-92,F8033
D0005,B1334,70,86,-14,F8028
D0005,B6124,90,104,-9,F8077
D0005,B0470,108,122,-10,F8020
D0005,B7130,125,138,-8,F8083
D0005,B6571,147,156,-2,F8080
D0005,A108,171,171,18,F8021
D0005,A108,171,171,50,F8026
D0005,A108,171,171,46,F8044
D0005,A108,171,171,12,F8082
D0005,A108,171,171,5,F8066
D0005,A108,171,171,2,F8094
D0005,A108,171,171,4,F8103
D0005,B0702,177,195,-18,F8021
D0005,B1127,198,224,-50,F8026
D0005,B2739,226,251,-46,F8044
D0005,B6768,254,269,-12,F8082
D0005,B5024,275,287,-5,F8066
D0005,B7813,292,301,-2,F8094
D0005,B8415,307,318,-4,F8103
D0005,A108,338,338,40,F8022
D0005,A108,338,338,28,F8067
D0005,A108,338,338,32,F8065
D0005,A108,338,338,34,F8039
D0005,B4917,343,365,-32,F8065
D0005,B0902,367,391,-40,F8022
D0005,B5141,393,414,-28,F8067
D0005,B2116,416,438,-34,F8039
D0005,S003,461,501,1,E0050
D0005,B0064,504,512,-1,E0050
D0005,S001,516,529,1,E0008
D0005,S003,533,539,1,E0048
D0005,S003,539,539,1,E0057
D0005,S003,539,541,5,E0058
D0005,S001,545,548,1,E0013
D0005,S001,548,553,4,E0006
D0005,B4012,565,573,-1,E0008
D0005,B0434,574,582,-1,E0048
D0005,B7861,592,600,-1,E0057
D0005,B7861,600,612,-5,E0058
D0005,B5710,614,622,-1,E0013
D0005,B3341,623,634,-4,E0006
D0005,A108,659,659,45,F8053
D0005,B3481,680,705,-45,F8053
D0006,A108,0,0,73,F8023
D0006,B0968,34,65,-73,F8023
D0006,A108,99,99,30,F8025
D0006,A108,99,99,11,F8097
D0006,A108,99,99,19,F8071
D0006,A108,99,99,44,F8063
D0006,A108,99,99,30,F8100
D0006,B8291,117,138,-30,F8100
D0006,B4699,141,166,-44,F8063
D0006,B5521,168,186,-19,F8071
D0006,B1101,192,213,-30,F8025
D0006,B7971,215,230,-11,F8097
D0006,S003,242,266,13,E0052
D0006,B7768,429,445,-13,E0052
D0006,S003,608,628,1,E0039
D0006,B3569,631,639,-1,E0039
D0007,A108,0,0,9,F8027
D0007,A108,0,0,9,F8081
D0007,A108,0,0,84,F8030
D0007,A108,0,0,14,F8056
D0007,A108,0,0,12,F8054
D0007,A108,0,0,4,F8042
D0007,A108,0,0,6,F8051
D0007,B1412,22,54,-84,F8030
D0007,B1235,62,76,-9,F8027
D0007,B6625,78,92,-9,F8081
D0007,B3749,100,116,-14,F8056
D0007,B3525,121,136,-12,F8054
D0007,B2553,147,158,-4,F8042
D0007,B3210,166,178,-6,F8051
D0007,A108,199,199,5,F8029
D0007,A108,199,199,34,F8047
D0007,A108,199,199,26,F8105
D0007,A108,199,199,31,F8074
D0007,A108,199,199,10,F8064
D0007,B1403,220,232,-5,F8029
D0007,B2889,237,259,-34,F8047
D0007,B8702,262,282,-26,F8105
D0007,B5851,285,307,-31,F8074
D0007,B4857,309,323,-10,F8064
D0007,A108,351,351,42,F8032
D0007,A108,351,351,18,F8091
D0007,A108,351,351,10,F8069
D0007,A108,351,351,35,F8048
D0007,B1596,362,386,-42,F8032
D0007,B7727,388,406,-18,F8091
D0007,B5221,412,426,-10,F8069
D0007,B2920,428,451,-35,F8048
D0007,A108,455,455,55,F8036
D0007,A108,455,455,37,F8086
D0007,A108,455,455,38,F8087
D0007,B7529,470,493,-38,F8087
D0007,B2061,495,522,-55,F8036
D0007,B7333,524,547,-37,F8086
D0007,S002,550,556,13,E0024
D0007,S001,557,558,1,E0010
D0007,S002,559,559,22,E0022
D0007,S001,560,560,1,E0019
D0007,S001,560,563,1,E0016
D0007,B6315,569,577,-1,E0016
D0007,B8851,580,588,-1,E0019
D0007,B6629,595,611,-13,E0024
D0007,B0434,621,629,-1,E0010
D0007,B3499,640,659,-22,E0022
D0008,A108,0,0,41,F8045
D0008,A108,0,0,22,F8096
D0008,A108,0,0,15,F8058
D0008,B2747,11,35,-41,F8045
D0008,B7899,39,58,-22,F8096
D0008,B4335,65,82,-15,F8058
D0009,S001,20,335,2,E0015
D0009,B6315,341,350,-2,E0015
D0010,S003,22,440,1,E0027
D0010,S001,444,448,3,E0011
D0010,S001,448,457,1,E0003
D0010,B3341,462,470,-1,E0003
D0010,B1412,474,482,-1,E0027
D0010,B4765,493,503,-3,E0011
D0010,S003,514,546,12,E0043
D0010,B3960,720,735,-12,E0043
D0011,S003,22,562,1,E0028
D0011,S003,562,563,11,E0037
D0011,S003,563,563,6,E0051
D0011,B6629,564,576,-6,E0051
D0011,B1412,578,586,-1,E0028
D0011,B3569,589,604,-11,E0037
D0012,S003,22,568,5,E0044
D0012,B3960,742,754,-5,E0044
D0013,S003,22,568,1,E0053
D0013,B7768,731,739,-1,E0053
D0014,S001,20,573,2,E0001
D0014,B1036,579,588,-2,E0001
D0014,S002,594,628,5,E0023
D0014,B0434,638,650,-5,E0023
D0015,S001,20,576,2,E0007
D0015,S003,580,581,1,E0038
D0015,S002,584,586,9,E0021
D0015,S001,587,588,1,E0017
D0015,B6315,594,602,-1,E0017
D0015,B3341,603,617,-9,E0021
D0015,B3341,617,626,-2,E0007
D0015,B3569,628,636,-1,E0038
D0016,S003,22,578,1,E0045
D0016,B3960,752,760,-1,E0045
D0017,A109,0,0,25,F8111
D0017,A109,0,0,16,F8179
D0017,A109,0,0,20,F8151
D0017,A109,0,0,39,F8146
D0017,A109,0,0,35,F8123
D0017,A109,0,0,3,F8188
D0017,A109,0,0,2,F8133
D0017,B1282,94,117,-35,F8123
D0017,B4072,119,143,-39,F8146
D0017,B0029,146,166,-25,F8111
D0017,B7188,169,186,-16,F8179
D0017,B4665,188,206,-20,F8151
D0017,B8080,214,224,-3,F8188
D0017,B2757,227,236,-2,F8133
D0017,A109,343,343,28,F8112
D0017,A109,343,343,36,F8180
D0017,A109,343,343,37,F8132
D0017,A109,343,343,20,F8143
D0017,A109,343,343,17,F8164
D0017,B0137,345,366,-28,F8112
D0017,B7230,367,390,-36,F8180
D0017,B2650,391,414,-37,F8132
D0017,B3762,416,434,-20,F8143
D0017,B5981,436,453,-17,F8164
D0017,A109,457,457,42,F8113
D0017,A109,457,457,34,F8185
D0017,A109,457,457,46,F8124
D0017,B0395,546,570,-42,F8113
D0017,B7994,572,594,-34,F8185
D0017,B1486,595,620,-46,F8124
D0018,A109,0,0,28,F8114
D0018,A109,0,0,18,F8157
D0018,A109,0,0,22,F8187
D0018,A109,0,0,40,F8170
D0018,A109,0,0,6,F8127
D0018,A109,0,0,15,F8186
D0018,A109,0,0,5,F8156
D0018,A109,0,0,4,F8142
D0018,A109,0,0,1,F8174
D0018,A109,0,0,1,F8176
D0018,B6875,12,20,-1,F8176
D0018,B8009,36,53,-15,F8186
D0018,B2253,56,68,-6,F8127
D0018,B8079,70,89,-22,F8187
D0018,B0407,90,111,-28,F8114
D0018,B5409,112,130,-18,F8157
D0018,B6450,131,155,-40,F8170
D0018,B5332,160,172,-5,F8156
D0018,B3630,175,186,-4,F8142
D0018,B6717,195,203,-1,F8174
D0018,A109,226,226,40,F8115
D0018,A109,226,226,39,F8183
D0018,A109,226,226,31,F8165
D0018,A109,226,226,20,F8125
D0018,B1570,230,248,-20,F8125
D0018,B0431,251,275,-40,F8115
D0018,B7852,276,300,-39,F8183
D0018,B5989,301,323,-31,F8165
D0018,A109,331,331,48,F8116
D0018,A109,331,331,31,F8162
D0018,A109,331,331,29,F8191
D0018,A109,331,331,25,F8163
D0018,A109,331,331,3,F8150
